epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.19077,1.13483,4.6986,0.01985,0.00561,1,0.33591,0.22085,0.71542,5.33785,0.01768,0.0004,0.0004,0.0004
2,7.68819,1.12129,4.48157,0.01923,0.00561,1,0.25692,0.16757,0.76921,5.31153,0.01888,0.000811882,0.000811882,0.000811882
3,9.38951,1.13143,4.11826,0.01933,0.49183,0.22454,0.35557,0.21767,0.92137,5.22267,0.02381,0.00121545,0.00121545,0.00121545
4,10.8582,1.15872,3.73309,0.01991,0.64511,0.46377,0.57372,0.39006,1.00451,4.67026,0.02413,0.0016107,0.0016107,0.0016107
5,12.309,1.20628,3.54957,0.02149,0.6639,0.48674,0.56542,0.30564,1.1882,4.74529,0.03167,0.0019208,0.0019208,0.0019208
6,13.7778,1.27749,3.16144,0.02185,0.66484,0.60377,0.62875,0.3396,1.42181,4.55818,0.0356,0.001901,0.001901,0.001901
7,15.2317,1.34755,3.09394,0.02495,0.79962,0.62319,0.75665,0.46965,1.31264,3.8897,0.03305,0.0018812,0.0018812,0.0018812
8,16.6645,1.26238,2.79927,0.02202,0.75529,0.75362,0.8037,0.49206,1.33587,3.1819,0.03448,0.0018614,0.0018614,0.0018614
9,18.1216,1.25978,2.52671,0.02158,0.77731,0.7971,0.86713,0.55727,1.23445,2.09746,0.03187,0.0018416,0.0018416,0.0018416
10,19.5738,1.28137,2.41885,0.02269,0.75359,0.78261,0.85072,0.55091,1.24864,1.67239,0.03312,0.0018218,0.0018218,0.0018218
11,21.0412,1.26127,2.22437,0.02269,0.87427,0.75362,0.89237,0.61592,1.09866,1.41923,0.02853,0.001802,0.001802,0.001802
12,22.5106,1.2273,1.93009,0.0203,0.92964,0.76595,0.91069,0.58324,1.18554,1.51892,0.03051,0.0017822,0.0017822,0.0017822
13,23.9752,1.27482,1.95558,0.02218,0.7962,0.84935,0.89627,0.49783,1.34525,1.50648,0.03422,0.0017624,0.0017624,0.0017624
14,25.5613,1.23072,1.84884,0.0221,0.77557,0.85146,0.89463,0.5782,1.26936,1.20625,0.0347,0.0017426,0.0017426,0.0017426
15,27.0381,1.23776,1.72076,0.02062,0.88348,0.85507,0.93016,0.64947,1.17211,0.96973,0.03091,0.0017228,0.0017228,0.0017228
