epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.79104,1.37103,2.41328,1.65159,1,0.11018,0.569,0.33673,1.13059,2.47476,1.47426,0.0004,0.0004,0.0004
2,2.89005,1.37088,1.93234,1.63627,0.8052,0.52174,0.64865,0.37769,1.53752,2.128,1.78692,0.000811882,0.000811882,0.000811882
3,3.99408,1.29234,1.71795,1.53973,0.31827,0.49275,0.42485,0.23597,1.48862,2.21081,1.82118,0.00121545,0.00121545,0.00121545
4,5.10017,1.35556,1.70981,1.57351,0.5177,0.63768,0.5932,0.34267,1.58179,1.90369,1.90973,0.0016107,0.0016107,0.0016107
5,6.17973,1.38385,1.69096,1.60774,0.49692,0.65856,0.61744,0.27895,1.80382,2.65201,2.21014,0.0019208,0.0019208,0.0019208
6,7.26696,1.31527,1.57733,1.55135,0.38689,0.71014,0.57092,0.30996,1.42652,6.86942,1.88338,0.001901,0.001901,0.001901
7,8.35371,1.33611,1.60524,1.57836,0.62936,0.63987,0.70812,0.41746,1.29016,2.73528,1.64314,0.0018812,0.0018812,0.0018812
8,9.46844,1.31269,1.47976,1.52258,0.7546,0.68116,0.76067,0.44016,1.22079,2.57059,1.51177,0.0018614,0.0018614,0.0018614
9,10.5683,1.33814,1.42579,1.51897,0.67226,0.7135,0.64588,0.32865,1.58614,1.79558,1.87449,0.0018416,0.0018416,0.0018416
10,11.6715,1.2539,1.33561,1.44587,0.85463,0.76685,0.85573,0.49796,1.27976,1.618,1.45211,0.0018218,0.0018218,0.0018218
11,12.7613,1.2598,1.32665,1.44774,0.77369,0.82609,0.85242,0.54026,1.19392,1.46952,1.39025,0.001802,0.001802,0.001802
12,13.8576,1.23039,1.26296,1.39689,0.83793,0.7971,0.85861,0.52023,1.33447,1.25275,1.56815,0.0017822,0.0017822,0.0017822
13,14.9474,1.21531,1.22626,1.4171,0.88421,0.82609,0.89862,0.54819,1.36346,1.13309,1.62941,0.0017624,0.0017624,0.0017624
14,16.0607,1.16893,1.19456,1.4105,0.87326,0.79888,0.86731,0.52512,1.33404,1.20795,1.50368,0.0017426,0.0017426,0.0017426
15,17.1606,1.20342,1.14712,1.39219,0.94008,0.90956,0.95972,0.6446,1.16478,0.98356,1.39379,0.0017228,0.0017228,0.0017228
16,18.26,1.10237,1.05908,1.32478,0.92152,0.94203,0.96707,0.65941,1.15051,1.00656,1.43085,0.001703,0.001703,0.001703
17,19.3592,1.10855,1.03293,1.33819,0.97944,0.86957,0.95535,0.66238,1.11378,0.85778,1.34838,0.0016832,0.0016832,0.0016832
18,20.4605,1.15398,1.11244,1.40351,0.91302,0.91273,0.95816,0.65179,1.11765,0.84171,1.3209,0.0016634,0.0016634,0.0016634
19,21.5657,1.09395,1.04059,1.34546,0.88664,0.90687,0.96256,0.72203,0.9048,0.87098,1.1687,0.0016436,0.0016436,0.0016436
20,22.6606,1.12348,1.00602,1.36711,0.98529,0.97082,0.98472,0.7532,0.89383,0.71336,1.17528,0.0016238,0.0016238,0.0016238
21,23.7749,1.12232,1.02014,1.35595,0.98324,0.97101,0.98391,0.74406,0.93995,0.68812,1.20634,0.001604,0.001604,0.001604
22,24.8734,1.07357,0.97288,1.30304,0.94623,0.95652,0.95926,0.71611,0.97109,0.73833,1.23877,0.0015842,0.0015842,0.0015842
23,25.9829,1.0729,0.96618,1.34311,0.95442,0.91051,0.97412,0.68326,1.02329,0.73102,1.27611,0.0015644,0.0015644,0.0015644
24,27.0763,1.02026,0.90944,1.30747,0.92765,0.95652,0.97386,0.70963,0.98541,0.67719,1.23162,0.0015446,0.0015446,0.0015446
25,28.1633,1.07665,0.912,1.30442,0.91006,0.97101,0.97841,0.6804,1.05585,0.68515,1.32504,0.0015248,0.0015248,0.0015248
26,29.2499,1.04142,0.90989,1.27423,0.92785,0.97101,0.98077,0.67993,1.07545,0.70045,1.27747,0.001505,0.001505,0.001505
27,30.3451,1.03072,0.88871,1.29224,1,0.95329,0.98491,0.72057,0.99704,0.64793,1.23418,0.0014852,0.0014852,0.0014852
28,31.446,1.02105,0.87785,1.28117,0.97047,0.95255,0.98497,0.7039,0.98443,0.676,1.24244,0.0014654,0.0014654,0.0014654
29,32.5484,1.00121,0.84945,1.25185,0.95686,0.9644,0.98348,0.73049,0.93547,0.59326,1.17753,0.0014456,0.0014456,0.0014456
