epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.93326,0.98472,2.84079,1.29261,0.00492,1,0.63262,0.48563,0.77498,2.62978,1.03928,0.00018,0.00018,0.00018
2,3.00611,0.999,1.83859,1.21729,0.83863,0.22034,0.60212,0.37782,1.02849,2.35487,1.2094,0.000376238,0.000376238,0.000376238
3,3.99796,0.94787,1.40366,1.14928,0.83744,0.37288,0.65316,0.43805,1.24165,2.22894,1.36949,0.000568516,0.000568516,0.000568516
4,4.98638,0.99147,1.43819,1.20481,0.84027,0.72881,0.86685,0.59341,1.02035,1.78671,1.21234,0.000756834,0.000756834,0.000756834
5,5.98518,0.9025,1.24976,1.16787,0.89253,0.69492,0.84522,0.57547,1.14011,1.64992,1.21182,0.000941192,0.000941192,0.000941192
6,6.95815,0.93312,1.17957,1.18878,0.58902,0.59322,0.51282,0.26987,1.4304,2.35479,1.41283,0.00112159,0.00112159,0.00112159
7,7.93914,0.94272,1.16597,1.16947,0.47046,0.57627,0.50097,0.25995,1.51328,2.0449,1.5464,0.00129803,0.00129803,0.00129803
8,8.91848,0.98286,1.25376,1.16865,0.63021,0.61017,0.70708,0.39611,1.25746,1.70084,1.34413,0.00147051,0.00147051,0.00147051
9,9.89242,0.95441,1.13133,1.14653,0.84544,0.66102,0.75225,0.49534,1.12778,1.37086,1.38261,0.00163902,0.00163902,0.00163902
10,10.8762,0.95454,1.11691,1.16617,0.63065,0.63675,0.58874,0.2933,1.75051,1.91887,2.01958,0.00180358,0.00180358,0.00180358
11,11.8377,0.99495,1.09691,1.16227,0.51859,0.63909,0.51596,0.22052,1.88259,2.0805,2.0026,0.001802,0.001802,0.001802
12,12.8131,0.97483,1.07375,1.16982,0.86766,0.49153,0.57639,0.33003,1.57439,1.7903,1.59057,0.0017822,0.0017822,0.0017822
13,13.7997,0.9488,1.0085,1.14333,0.57343,0.55932,0.58643,0.31295,1.64318,1.70086,1.62441,0.0017624,0.0017624,0.0017624
14,14.772,0.90382,0.98553,1.12336,0.50251,0.66102,0.53979,0.33135,1.47779,1.63658,1.58993,0.0017426,0.0017426,0.0017426
15,15.7416,0.91849,0.94939,1.14454,0.62624,0.64407,0.61636,0.38779,1.39934,1.56171,1.49816,0.0017228,0.0017228,0.0017228
16,16.7092,0.93261,0.95408,1.11893,0.79359,0.65172,0.7096,0.4313,1.27353,1.51452,1.32713,0.001703,0.001703,0.001703
